source_id,line_no,candidate,paths,coder1,coder2,adjudicated,final_label,reason,sublabels,food_ja,food_en,direction,quote
attaka_navi,4,あったかナビ,list|prose,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,あったかナビコンテンツへスキップ,wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,め,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,4,スープレシピ,prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,スープレシピの選び方,list|prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,体,prose|scoped|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,4,体を温める食材まとめ,list|prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,効く食べ物,prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,最強,prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,温める食材ま,prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,温活,list|prose|wrapped,exclude,exclude,False,exclude,not-food,,,,,
attaka_navi,4,温活に効く食べ物の見分け方と最強の鍋,prose|wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,4,見分け方,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,4,選び方,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,4,鍋,prose|wrapped,exclude,exclude,False,exclude,no-direction,,,,,
attaka_navi,5,コンテンツへスキップ,line|prose,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,5,コンテンツへスキップPR,wrapped,exclude,exclude,False,exclude,navigation,,,,,
attaka_navi,7,お悩みさん,line|prose|scoped,exclude,exclude,False,exclude,not-food,,,,,
attaka_navi,7,お悩みさん体,wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,お悩みさん体を温める食べ物ってよく聞くけど,wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,かよくわかりません,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,どれ,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,具体的,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,具体的にどれが温まるのかよくわかりません,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,冬野菜だから温まるんじゃない,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,大根,list|prose|wrapped,include,include,False,include,,,大根,daikon radish,cool,実は大根は薬膳では「体を冷やす食材」に分類されるんです
attaka_navi,7,大根は冬野菜だから温まるんじゃないの,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,温まる,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,7,温める食べ物ってよく聞くけど,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,8,体を温める食べ物ってよく聞くけど,list|prose,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,「体,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,す,prose|scoped|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,すよ,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,す食材」,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,入っていて,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,冷,prose|scoped|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,分類されるん,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,温かい料理,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,温かい料理に入っていても,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,温める,prose|scoped|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,温盛先生,line|prose|scoped|wrapped,exclude,exclude,False,exclude,not-food,,,,,
attaka_navi,9,温盛先生実,wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,温盛先生実は大根は薬膳では「体を冷やす食材」に分類されるんです,wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,薬膳,list|prose|wrapped,exclude,exclude,False,exclude,not-food,,,,,
attaka_navi,9,限らないん,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,食材自体,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,9,食材自体が体を温めるとは限らないんですよ,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,10,実,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,10,実は大根は薬膳では「体を冷やす食材」に分類されるんです,prose,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,「冬野菜なら体,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,「温かい料理＝体,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,「温かい料理＝体が温まる」とは限りません,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,あれば,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,しますよね,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,すぐ冷えてしまう,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,すぐ冷える」「温活,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,す性質,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,でも実は,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,わからない」,prose,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,わからない」寒い日,wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,スープ,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,ホッ,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,一時的,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,効く食材,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,思っていた」「鍋,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,料理,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,料理の温度で一時的に温まっても,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,温かい鍋,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,温まって,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
attaka_navi,11,温まる」,prose|wrapped,exclude,exclude,False,exclude,fragment,,,,,
